state,district,market,commodity,modal_price
Uttar Pradesh,Hamirpur,Bharuasumerpur APMC,Wheat,2250.14
Uttar Pradesh,Fatehpur,Bindki APMC,Bajra(Pearl Millet/Cumbu),2000.0
Uttar Pradesh,Fatehpur,Bindki APMC,Wheat,2350.0
Uttar Pradesh,Pillibhit,Bishalpur APMC,Firewood,500.0
Uttar Pradesh,Sitapur,Viswan APMC,Onion,1200.0
Uttar Pradesh,Sambhal,Chandausi APMC,Masur Dal,8651.0
Uttar Pradesh,Sambhal,Chandausi APMC,Green Gram Dal(Moong Dal),9527.56
Uttar Pradesh,Sambhal,Chandausi APMC,Wheat,2450.0
Uttar Pradesh,Aligarh,Charra APMC,Mustard,6100.0
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Ginger(Green),3450.0
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Onion,1700.0
Uttar Pradesh,Gautam Budh Nagar,Dadri APMC,Wheat,2650.0
Uttar Pradesh,Deoria,Devariya APMC,Garlic,4000.0
Uttar Pradesh,Deoria,Devariya APMC,Wheat,2570.0
Uttar Pradesh,Gonda,Colonelganj APMC,Maize,1900.0
Uttar Pradesh,Gonda,Colonelganj APMC,Masur Dal,5251.66
Uttar Pradesh,Gonda,Colonelganj APMC,Firewood,296.28
Uttar Pradesh,Mau(Maunathbhanjan),Doharighat APMC,Paddy(Common),2300.0
Uttar Pradesh,Mau(Maunathbhanjan),Doharighat APMC,Rice,2500.0
Maharashtra,Ahmednagar,Parner APMC,Onion,975.0
Maharashtra,Akola,Akola APMC,Arhar(Tur/Red Gram)(Whole),7675.0
Maharashtra,Akola,Akola APMC,Onion,700.0
Maharashtra,Akola,Akola APMC,Garlic,7500.0
Maharashtra,Chattrapati Sambhajinagar,Paithan APMC,Bajra(Pearl Millet/Cumbu),1800.0
Maharashtra,Chattrapati Sambhajinagar,Paithan APMC,Soyabean,3200.0
Maharashtra,Beed,Beed APMC,Jowar(Sorghum),2300.0
Maharashtra,Hingoli,Sengoan APMC,Arhar(Tur/Red Gram)(Whole),7300.0
Maharashtra,Hingoli,Sengoan APMC,Soyabean,5250.0
Maharashtra,Jalgaon,Bhusaval APMC,Lime,9500.0
Maharashtra,Jalgaon,Bhusaval APMC,Beetroot,1000.0
Maharashtra,Jalgaon,Bhusaval APMC,Onion Green,3000.0
Maharashtra,Jalgaon,Bhusaval APMC,Drumstick,2500.0
Maharashtra,Mumbai,Mumbai- Fruit Market APMC,Chikoos(Sapota),5000.0
Maharashtra,Mumbai,Mumbai- Fruit Market APMC,Water Melon,1900.0
Maharashtra,Mumbai,Mumbai APMC,Bhindi(Ladies Finger),3300.0
Maharashtra,Mumbai,Mumbai APMC,French Beans(Frasbean),3700.0
Maharashtra,Mumbai,Mumbai APMC,Cucumbar(Kheera),1600.0
Maharashtra,Mumbai,Mumbai APMC,Bitter gourd,2000.0
Maharashtra,Mumbai,Mumbai APMC,Chilly Capsicum,2900.0
Maharashtra,Mumbai,Mumbai APMC,Elephant Yam(Suran)/Amorphophallus,3900.0
Maharashtra,Mumbai,Mumbai APMC,Brinjal,1400.0
Maharashtra,Mumbai,Mumbai APMC,Green Chilli,5300.0
Maharashtra,Nagpur,Katol APMC,Wheat,2350.0
Maharashtra,Nagpur,Katol APMC,Bengal Gram(Gram)(Whole),5250.0
Maharashtra,Nashik,Pimpalgaon APMC,Onion,1350.0
Maharashtra,Nashik,Pimpalgaon APMC,Onion,900.0
Maharashtra,Pune,Junnar(Alephata) APMC,Onion,1150.0
Maharashtra,Pune,Junnar(Otur) APMC,Bhindi(Ladies Finger),2500.0
Maharashtra,Pune,Junnar(Otur) APMC,Bottle gourd,500.0
Maharashtra,Pune,Junnar(Otur) APMC,Chilly Capsicum,3000.0
Maharashtra,Pune,Junnar(Otur) APMC,Green Chilli,3300.0
Maharashtra,Pune,Khed APMC,Cauliflower,800.0
Maharashtra,Pune,Khed APMC,Cabbage,400.0
Maharashtra,Pune,Khed APMC,Coriander(Leaves),800.0
Maharashtra,Pune,Khed(Chakan) APMC,Water Melon,700.0
Maharashtra,Pune,Khed(Chakan) APMC,Bottle gourd,1000.0
Maharashtra,Pune,Khed(Chakan) APMC,Cucumbar(Kheera),1200.0
Maharashtra,Pune,Khed(Chakan) APMC,Onion,1200.0
Maharashtra,Pune,Pune APMC,Potato,950.0
Maharashtra,Pune,Pune APMC,Methi(Leaves),7.0
Maharashtra,Pune,Pune APMC,Spinach,6.0
Maharashtra,Pune,Pune APMC,Ridgeguard(Tori),2250.0
Maharashtra,Pune,Pune APMC,Black Gram(Urd Beans)(Whole),9700.0
Maharashtra,Pune,Pune APMC,Pomegranate,8700.0
Maharashtra,Pune,Pune(Manjri) APMC,Water Melon,1200.0
Maharashtra,Pune,Pune(Manjri) APMC,Bitter gourd,2500.0
Maharashtra,Pune,Pune(Manjri) APMC,Ridgeguard(Tori),2500.0
Maharashtra,Pune,Pune(Moshi) APMC,Mango,12500.0
Maharashtra,Pune,Pune(Moshi) APMC,Pineapple,5000.0
Maharashtra,Pune,Pune(Moshi) APMC,Water Melon,1000.0
Maharashtra,Pune,Pune(Moshi) APMC,Chilly Capsicum,3000.0
Maharashtra,Pune,Pune(Moshi) APMC,Spinach,10.0
Maharashtra,Pune,Pune(Moshi) APMC,Brinjal,2500.0
Maharashtra,Pune,Pune(Pimpri) APMC,Onion,1100.0
Maharashtra,Satara,Patan APMC,Green Chilli,3000.0
Maharashtra,Satara,Vai APMC,Ginger(Green),4500.0
Maharashtra,Sholapur,Akluj APMC,Potato,1100.0
Maharashtra,Sholapur,Akluj APMC,Cauliflower,1200.0
Maharashtra,Sholapur,Akluj APMC,Chilly Capsicum,3000.0
Maharashtra,Sholapur,Akluj APMC,Tomato,1000.0
Maharashtra,Sholapur,Mangal Wedha APMC,Ridgeguard(Tori),3000.0
Maharashtra,Sholapur,Mangal Wedha APMC,Tomato,1000.0
Maharashtra,Sholapur,Solapur APMC,Karbuja(Musk Melon),1000.0
Maharashtra,Sholapur,Solapur APMC,Carrot,2000.0
Maharashtra,Sholapur,Solapur APMC,Guar,3000.0
Maharashtra,Sholapur,Solapur APMC,Bitter gourd,2500.0
Maharashtra,Sholapur,Solapur APMC,Coriander(Leaves),600.0
Maharashtra,Sholapur,Solapur APMC,Soyabean,5615.0
Maharashtra,Sholapur,Solapur APMC,Mango,10000.0
Maharashtra,Thane,Murbad APMC,Bhindi(Ladies Finger),3500.0
Maharashtra,Thane,Murbad APMC,Bitter gourd,2500.0
Maharashtra,Wardha,Pulgaon APMC,Cotton,7600.0
Uttar Pradesh,Lakhimpur,Golagokarnath APMC,Paddy(Common),1800.0
Uttar Pradesh,Lakhimpur,Golagokarnath APMC,Wood,600.0
Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Gopiganj APMC,Paddy(Common),2200.0
Uttar Pradesh,Jhansi,Gurusarai APMC,Peas(Dry),3600.0
Uttar Pradesh,Jhansi,Gurusarai APMC,Bengal Gram(Gram)(Whole),5056.44
Uttar Pradesh,Ghaziabad,Hapur APMC,Firewood,523.59
Uttar Pradesh,Sitapur,Hargaon (Laharpur) APMC,Khandsari(Desi Khand),4011.0
Uttar Pradesh,Sitapur,Hargaon (Laharpur) APMC,Wood,550.0
Uttar Pradesh,Sitapur,Hargaon (Laharpur) APMC,Gur(Jaggery),3709.18
Uttar Pradesh,Amethi,Jafarganj APMC,Wood,500.0
Uttar Pradesh,Amethi,Jafarganj APMC,Wheat,2343.64
Uttar Pradesh,Raebarelli,Jayas APMC,Onion,1200.0
Uttar Pradesh,Jalaun (Orai),Jalaun APMC,Raddish,2000.0
Uttar Pradesh,Jalaun (Orai),Jalaun APMC,Tomato,800.0
Uttar Pradesh,Ghazipur,Jangipura APMC,Bengal Gram Dal(Chana Dal),6625.0
Uttar Pradesh,Ghazipur,Jangipura APMC,Paddy(Common),2100.0
Uttar Pradesh,Prayagraj,Jasra APMC,Mustard,6147.5
Uttar Pradesh,Prayagraj,Jasra APMC,Wheat,2300.0
Uttar Pradesh,Jhansi,Jhansi APMC,Barley(Jau),2000.0
Uttar Pradesh,Jhansi,Jhansi APMC,Green Chilli,2200.0
Uttar Pradesh,Jhansi,Jhansi APMC,Wheat,2305.56
Uttar Pradesh,Jhansi,Jhansi APMC,Tomato,1500.0
Uttar Pradesh,Jhansi,Jhansi APMC,Groundnut,6931.21
Uttar Pradesh,Kanpur Dehat,Jhijhank APMC,Rice,2655.0
Uttar Pradesh,Kanpur Dehat,Jhijhank APMC,Wood,500.0
Uttar Pradesh,Kanpur Dehat,Jhijhank APMC,Maize,1801.24
Uttar Pradesh,Farukhabad,Kayamganj APMC,Wood,700.0
Uttar Pradesh,Jalaun (Orai),Kalpi APMC,Peas(Dry),4000.0
Uttar Pradesh,Chitrakut,Karvi APMC,Barley(Jau),2300.0
Uttar Pradesh,Kasganj,Kasganj APMC,Bajra(Pearl Millet/Cumbu),1755.4
Uttar Pradesh,Aligarh,Khair APMC,Wheat,2278.52
Uttar Pradesh,Bulandshahar,Khurja APMC,Wheat,2590.0
Uttar Pradesh,Bijnor,Kiratpur APMC,Bottle gourd,1450.0
Uttar Pradesh,Jalaun (Orai),Konch APMC,Peas(Dry),3395.49
Uttar Pradesh,Mathura,Kosikalan APMC,Mustard,5951.03
Uttar Pradesh,Mathura,Kosikalan APMC,Green Chilli,3272.73
Uttar Pradesh,Mathura,Kosikalan APMC,Wheat,2450.06
Uttar Pradesh,Hamirpur,Kurara APMC,Peas(Dry),4000.0
Uttar Pradesh,Prayagraj,Lediyari APMC,Firewood,400.0
Uttar Pradesh,Hardoi,Madhoganj APMC,Paddy(Common),1800.0
Uttar Pradesh,Hardoi,Madhoganj APMC,Mustard,6234.05
Uttar Pradesh,Sitapur,Mehmoodabad APMC,Wheat,2303.74
Uttar Pradesh,Mahoba,Mahoba APMC,Mustard,6209.37
Uttar Pradesh,Mahoba,Mahoba APMC,Groundnut,6566.29
Uttar Pradesh,Jhansi,Moth APMC,Paddy(Common),4048.53
Uttar Pradesh,Muzaffarnagar,Muzzafarnagar APMC,Rab/Liquid Jaggery/Molasses,2300.0
Uttar Pradesh,Bahraich,Naanpara APMC,Wheat,2300.0
Uttar Pradesh,Bahraich,Naanpara APMC,Wood,514.02
Uttar Pradesh,Maharajganj,Nautnava APMC,Rice,2100.0
Uttar Pradesh,Maharajganj,Nautnava APMC,Firewood,400.0
Uttar Pradesh,Gonda,Nawabganj APMC,Wood,541.85
Uttar Pradesh,Gonda,Nawabganj APMC,Wheat,2350.0
Uttar Pradesh,Balrampur,Panchpedwa APMC,Paddy(Common),2000.0
Uttar Pradesh,Lakhimpur,Paliakala APMC,Potato,686.44
Uttar Pradesh,Lakhimpur,Paliakala APMC,Wheat,2300.0
Uttar Pradesh,Pratapgarh,Pratapgarh APMC,Paddy(Common),2073.04
Uttar Pradesh,Prayagraj,Prayagraj APMC,Ginger(Green),4000.0
Uttar Pradesh,Sonbhadra,Robertsganj APMC,Arhar Dal(Tur Dal),6041.67
Uttar Pradesh,Ayodhya,Rudauli APMC,Firewood,366.17
Uttar Pradesh,Kanpur Dehat,Rura APMC,Wheat,2300.0
Uttar Pradesh,Kanpur Dehat,Rura APMC,Wheat,2300.0
Uttar Pradesh,Kanpur Dehat,Rura APMC,Wheat,2300.0
Uttar Pradesh,Hathras,Shadabad APMC,Onion,950.0
Uttar Pradesh,Barabanki,Safdarganj APMC,Mustard,5645.89
Uttar Pradesh,Barabanki,Safdarganj APMC,Potato,500.0
Uttar Pradesh,Badaun,Shahaswan APMC,Bajra(Pearl Millet/Cumbu),1850.67
Uttar Pradesh,Badaun,Shahaswan APMC,Wood,550.0
Uttar Pradesh,Raebarelli,Salon APMC,Wheat,2325.0
Uttar Pradesh,Sambhal,Sambhal APMC,Wood,460.0
Uttar Pradesh,Sambhal,Sambhal APMC,Potato,400.0
Uttar Pradesh,Hardoi,Sandi APMC,Wood,450.0
Uttar Pradesh,Hardoi,Shahabad(New Mandi) APMC,Rice,2000.0
Uttar Pradesh,Hardoi,Shahabad(New Mandi) APMC,Mustard,6450.0
Uttar Pradesh,Jaunpur,Shahganj APMC,Wood,500.0
Uttar Pradesh,Jaunpur,Shahganj APMC,Wheat,2370.0
Uttar Pradesh,Shamli,Shamli APMC,Rice,3500.0
Uttar Pradesh,Shamli,Shamli APMC,Pegeon Pea(Arhar Fali),6250.0
Uttar Pradesh,Shamli,Shamli APMC,Garlic,7000.0
Uttar Pradesh,Bulandshahar,Sikarpur APMC,Cucumbar(Kheera),1300.0
Uttar Pradesh,Bulandshahar,Sikarpur APMC,Onion,1100.0
Uttar Pradesh,Prayagraj,Sirsa APMC,Wood,409.18
Uttar Pradesh,Firozabad,Sirsaganj APMC,Mustard,6700.0
Uttar Pradesh,Amethi,Sultanpur APMC,Firewood,325.0
Uttar Pradesh,Ghazipur,Saidpur APMC,Wood,350.0
Uttar Pradesh,Khiri (Lakhimpur),Tikonia APMC,Gur(Jaggery),3600.0
Uttar Pradesh,Balrampur,Tulsipur APMC,Green Chilli,5730.0
Uttar Pradesh,Balrampur,Tulsipur APMC,Bottle gourd,2350.0
Uttar Pradesh,Firozabad,Tundla APMC,Wheat,2550.0
Uttar Pradesh,Firozabad,Tundla APMC,Potato,500.0
Uttar Pradesh,Firozabad,Tundla APMC,Wheat,2550.0
Uttar Pradesh,Unnao,Unnao APMC,Wheat,2590.0
Uttar Pradesh,Unnao,Unnao APMC,Wheat,2597.51
Uttar Pradesh,Unnao,Unnao APMC,Wheat,2590.0
Uttar Pradesh,Ambedkarnagar,Tanda Akbarpur APMC,Rice,2400.0
Uttar Pradesh,Ghaziabad,Muradnagar APMC,Gur(Jaggery),4060.0
Uttar Pradesh,Hardoi,Sandila APMC,Green Chilli,3700.0
Uttar Pradesh,Hardoi,Sandila APMC,Ginger(Green),3000.0
Uttar Pradesh,Hardoi,Sandila APMC,Wheat,2382.34
Tripura,Dhalai,Kulai APMC,Green Chilli,7500.0
Tripura,Dhalai,Kulai APMC,Bhindi(Ladies Finger),5700.0
Tripura,Dhalai,Kulai APMC,Tomato,2500.0
Tripura,West District,Champaknagar APMC,Brinjal,3800.0
Tripura,West District,Champaknagar APMC,Potato,1900.0
Tripura,Dhalai,Chowmanu APMC,Potato,2000.0
Tripura,Dhalai,Chowmanu APMC,Cucumbar(Kheera),3500.0
Tripura,Dhalai,Chowmanu APMC,Green Chilli,9000.0
Tripura,Dhalai,Gandacharra APMC,Cucumbar(Kheera),4900.0
Nagaland,Longleng,Longleng APMC,Cabbage,2200.0
West Bengal,Kolkata,Sealdah Koley Market APMC,Cauliflower,2200.0
West Bengal,North 24 Parganas,Habra APMC,Green Chilli,3000.0
West Bengal,North 24 Parganas,Habra APMC,Potato,700.0
West Bengal,North 24 Parganas,Habra APMC,Onion,1000.0
West Bengal,North 24 Parganas,Habra APMC,Tomato,1300.0
Uttar Pradesh,Meerut,Sardhana APMC,Rab/Liquid Jaggery/Molasses,2750.0
Madhya Pradesh,Sehore,Shyampur APMC,Wheat,2200.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Garlic,15000.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Cabbage,1900.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Mint(Pudina),3250.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Brinjal,3500.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Pumpkin,1000.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Amaranthus,1350.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Banana - Green,2500.0
Madhya Pradesh,Raisen,Gairatganj APMC,Paddy(Common),4005.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Potato,4000.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Banana - Green,3250.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Beans,7000.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Lime,3750.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Mint(Pudina),4250.0
Tamil Nadu,Nagapattinam,Vedaranyam(Uzhavar Sandhai),Potato,3100.0
Tamil Nadu,Nagapattinam,Vedaranyam(Uzhavar Sandhai),Beetroot,3500.0
Tamil Nadu,Nagapattinam,Vedaranyam(Uzhavar Sandhai),Green Avare(W),4250.0
